Event ID,Crossed MODULE ID,Detector Type
195777,65,cylinder
195778,72,cylinder
195778,334,planar_right
195778,386,planar_left
195779,34,cylinder
195780,74,cylinder
195780,175,planar_right
195781,17,cylinder
195781,527,planar_left
195782,49,cylinder
195783,599,planar_left
195783,59,cylinder
195784,58,cylinder
195785,50,cylinder
195786,596,planar_left
195786,51,cylinder
195787,67,cylinder
195788,65,cylinder
195788,130,planar_right
195789,34,cylinder
195790,51,cylinder
195791,58,cylinder
195792,50,cylinder
195793,34,cylinder
195794,73,cylinder
195794,303,planar_right
195794,416,planar_left
195795,42,cylinder
195796,74,cylinder
195796,142,planar_right
195797,75,cylinder
195797,108,planar_right
195798,56,cylinder
195799,580,planar_left
195799,19,cylinder
195799,379,planar_left
195800,448,planar_left
195800,57,cylinder
195801,26,cylinder
195802,65,cylinder
195803,42,cylinder
195804,50,cylinder
195805,67,cylinder
195807,74,cylinder
195807,175,planar_right
195808,17,cylinder
195808,591,planar_left
195809,24,cylinder
195810,27,cylinder
195811,64,cylinder
195812,40,cylinder
195813,26,cylinder
195814,56,cylinder
195815,59,cylinder
195816,58,cylinder
195817,67,cylinder
195818,72,cylinder
195819,27,cylinder
195820,64,cylinder
195821,49,cylinder
195822,43,cylinder
195822,578,planar_left
195823,75,cylinder
195824,75,cylinder
195824,105,planar_right
195825,34,cylinder
195826,67,cylinder
195827,594,planar_left
195827,67,cylinder
195828,32,cylinder
195829,51,cylinder
195830,18,cylinder
195830,431,planar_left
195831,17,cylinder
195831,495,planar_left
195832,66,cylinder
195833,72,cylinder
195834,59,cylinder
195835,25,cylinder
195836,59,cylinder
195837,75,cylinder
195837,124,planar_right
195838,40,cylinder
195839,43,cylinder
195840,34,cylinder
195841,48,cylinder
195842,25,cylinder
195843,42,cylinder
195844,25,cylinder
195845,59,cylinder
195846,58,cylinder
195847,56,cylinder
195847,353,planar_left
195848,40,cylinder
195849,49,cylinder
195850,25,cylinder
195851,65,cylinder
195852,42,cylinder
195853,72,cylinder
195854,41,cylinder
195855,51,cylinder
195856,51,cylinder
195857,24,cylinder
195858,51,cylinder
195859,64,cylinder
195860,32,cylinder
195861,32,cylinder
195862,24,cylinder
195863,65,cylinder
195864,66,cylinder
195865,48,cylinder
195866,64,cylinder
195867,18,cylinder
195867,447,planar_left
195868,56,cylinder
195869,58,cylinder
195870,17,cylinder
195870,575,planar_left
195871,25,cylinder
195872,57,cylinder
195873,74,cylinder
195873,111,planar_right
195874,25,cylinder
195875,288,planar_right
195875,26,cylinder
195876,18,cylinder
195877,41,cylinder
195878,50,cylinder
195879,50,cylinder
195880,57,cylinder
195881,72,cylinder
195881,346,planar_right
195882,73,cylinder
195882,302,planar_right
195883,33,cylinder
195884,48,cylinder
195885,72,cylinder
195885,349,planar_right
195886,50,cylinder
195887,58,cylinder
195888,42,cylinder
195888,305,planar_right
195889,32,cylinder
195890,25,cylinder
195891,43,cylinder
195892,27,cylinder
195893,19,cylinder
195893,381,planar_left
